,CAGR,Volatility,Sharpe,Max Drawdown
SUNDARMFIN,0.26839569782337014,0.28201901632673004,0.9516936173992723,-0.43630984400215256
UBL,0.18934897070300005,0.3666067696239723,0.5164906553613694,-0.4598687531549711
ABCAPITAL,-0.0009198923284577942,0.39327059853118873,-0.002339082382190443,-0.8225127409705301
MPHASIS,0.09117379257955616,0.3389298083450874,0.2690049394732668,-0.613005177862955
BALKRISIND,0.3227700134594915,0.3382950885104872,0.9541078910741727,-0.5135087719298249
DIXON,0.5717960207316024,0.3963061539467442,1.442813882744906,-0.5740114922910633
MAHABANK,0.01396304758748279,0.3935241149554881,0.035482063377646283,-0.8983050847457629
KALYANKJIL,0.7801936553435598,0.44121529668432535,1.7682833328912484,-0.3528389339513316
SCHAEFFLER,0.28331060867117186,0.2808478567187909,1.0087689896627798,-0.47350736404028737
AWL,0.09402683403194279,0.4955159234460114,0.1897554237572093,-0.6511296076099882
APLAPOLLO,0.451290379248082,0.4055438554451512,1.1128029020504242,-0.5779421069281863
TATATECH,-0.35642786945453087,0.26455385930601427,-1.3472790394724283,-0.20642220178350013
SONACOMS,0.21821151081186274,0.4062887907324477,0.5370847431416363,-0.5131275069891825
KPITTECH,0.7094098294653435,0.4593513176296387,1.5443731240960965,-0.6957660410301179
FACT,0.24714993057282286,0.5797496774006974,0.42630455903126574,-0.7496443812233293
PSB,-0.05508906947742298,0.4137755483284901,-0.13313756624808726,-0.9193050193050194
PETRONET,0.16574527494004698,0.3018495757704372,0.5490989162963067,-0.4315075981196027
UNOMINDA,0.40958077124380243,0.4526256604540463,0.9048995826549828,-0.675968992248063
PAGEIND,0.3013449384643847,0.32115101388878026,0.9383278440115568,-0.5418035074758475
MRPL,0.07208934984362347,0.43965424488131194,0.16396827889853435,-0.8433438707411307
AUBANK,0.13156455395695144,0.39477388152693027,0.33326559864618727,-0.6777546072597188
MAZDOCK,1.555510595813968,0.5284162022640935,2.943722371019483,-0.3171225382932169
HUDCO,0.23604221753493992,0.45051388536376386,0.5239399388197536,-0.8070624360286583
GUJGASLTD,0.20014030809280814,0.32717846251587906,0.6117160235848185,-0.47694599145188576
NIACL,-0.04175519416700324,0.4754960666827974,-0.08781396333790928,-0.7907642119899464
CRISIL,0.1678899910224947,0.28885238520625733,0.5812311049556039,-0.5341389973958327
AIAENG,0.18289724967335852,0.30761781369252833,0.5945600076859296,-0.43366008027168823
FEDERALBNK,0.15305123752987138,0.35729570150930934,0.428360142266877,-0.7046263345195721
IREDA,8.406165612298942,0.7588044188261337,11.07817166550405,-0.39937932680830734
VOLTAS,0.1568886805944838,0.3624199587449536,0.43289194430070377,-0.7525574213472307
DALBHARAT,0.0940235004628529,0.37481379938838577,0.25085389229606464,-0.6632905138339917
POONAWALLA,0.19392170891062177,0.45916637704287205,0.42233429668678774,-0.9310615989515071
MEDANTA,0.9923126477160491,0.3374194855641401,2.9408872047118937,-0.27588177936182345
IRB,0.07450700167946378,0.4950530434087663,0.15050306764389124,-0.8453307392996112
3MINDIA,0.23330125161298332,0.3070302689542821,0.759864010827293,-0.42642505006300024
MFSL,0.1064201523308892,0.37620941797243634,0.2828747693357487,-0.5735924338702539
M&MFIN,0.14489999182309043,0.40500116315371915,0.3577767300586574,-0.758485761311761
UPL,0.11620401844862416,0.35701836022922495,0.3254847128142512,-0.6354263621393288
HONAUT,0.25338167098535047,0.31486774443655274,0.8047241277088261,-0.47366942845105997
BSE,0.2937563094702602,0.38674459584754245,0.7595615106825205,-0.7496420807041726
FLUOROCHEM,0.3799499147665528,0.44390326281194814,0.8559295382505714,-0.6691526828257714
COFORGE,0.2718811398315697,0.39311546577564566,0.6916063179939468,-0.5698571499676476
LICHSGFIN,0.11492334099858281,0.36659926715266966,0.3134849174445381,-0.7538402457757303
GLAXO,0.08167358146878612,0.23354089847072926,0.3497185375392509,-0.45271524289863685
DELHIVERY,-0.13408763438563853,0.42235411767635667,-0.31747680151277174,-0.5764445080091537
BDL,0.415839174117679,0.4545890906981339,0.9147583666802368,-0.6195861405197305
